,period_id,timestamp,frame_id,ball_state,ball_owning_team_id,ball_x,ball_y,ball_z,away_14_x,away_14_y,home_17_x,home_17_y,home_2_x,home_2_y,away_9_x,away_9_y,home_3_x,home_3_y,home_9_x,home_9_y,away_8_x,away_8_y,home_10_x,home_10_y,home_21_x,home_21_y,home_20_x,home_20_y,away_13_x,away_13_y,away_4_x,away_4_y,home_18_x,home_18_y,home_15_x,home_15_y,away_5_x,away_5_y,away_2_x,away_2_y,home_4_x,home_4_y,away_15_x,away_15_y,away_22_x,away_22_y,away_11_x,away_11_y,away_23_x,away_23_y,home_1_x,home_1_y,home_22_x,home_22_y,away_10_x,away_10_y,away_27_x,away_27_y,home_31_x,home_31_y,formatted_time,diff,away_10_vx,away_10_vy,away_10_speed,away_11_vx,away_11_vy,away_11_speed,away_13_vx,away_13_vy,away_13_speed,away_14_vx,away_14_vy,away_14_speed,away_15_vx,away_15_vy,away_15_speed,away_2_vx,away_2_vy,away_2_speed,away_22_vx,away_22_vy,away_22_speed,away_23_vx,away_23_vy,away_23_speed,away_27_vx,away_27_vy,away_27_speed,away_4_vx,away_4_vy,away_4_speed,away_5_vx,away_5_vy,away_5_speed,away_8_vx,away_8_vy,away_8_speed,away_9_vx,away_9_vy,away_9_speed,home_1_vx,home_1_vy,home_1_speed,home_10_vx,home_10_vy,home_10_speed,home_15_vx,home_15_vy,home_15_speed,home_17_vx,home_17_vy,home_17_speed,home_18_vx,home_18_vy,home_18_speed,home_2_vx,home_2_vy,home_2_speed,home_20_vx,home_20_vy,home_20_speed,home_21_vx,home_21_vy,home_21_speed,home_22_vx,home_22_vy,home_22_speed,home_3_vx,home_3_vy,home_3_speed,home_31_vx,home_31_vy,home_31_speed,home_4_vx,home_4_vy,home_4_speed,home_9_vx,home_9_vy,home_9_speed,ball_vx,ball_vy,ball_speed
8484,1,1054,10731,,,0.5685672851999968,67.2602608695,0.144915926515,10.077216738700002,34.684529591174,3.5118241082999972,57.475914455600005,,,11.1139313834,30.574297496249997,6.109668731699998,33.624391656546,2.108085813999999,37.89640071279,,,23.5740466345,43.53833897909,9.280426025399997,34.672613447621,,,,,,,11.665151141899997,53.6230921972,10.707604032399999,32.37727120221,,,,,12.9248461042,33.385432266054,11.8889799572,34.00201324009824,13.736159006800001,59.250227247,,,,,1.3317177181999966,34.705753181662,,,,,,,,,17:34,1.0,,,,,,,,,,0.8342400375714274,0.08938632854713952,0.8390151107210846,0.36196857900000023,-0.20940223699201158,0.4181752611531892,,,,0.5093503160000017,-0.6561567345714335,0.8306499893052116,,,,,,,,,,,,,,,,0.13311113628571802,-1.190994677899993,1.1984101540747154,-0.10175691985714205,-0.09075525261142814,0.1363487682943156,-0.877406191714287,0.791829102700023,1.181877723430513,-0.7510038465714279,-1.7241497042371332,1.8806113315052835,0.11239136157142926,-0.09646266485715066,0.1481109849647308,0.4349878531428634,-0.26705488857143483,0.5104240843570558,,,,,,,0.8669213534285702,-0.09639214496286085,0.8722637666674944,,,,0.3924031159999991,0.34543204875142974,0.5227843778759259,,,,-0.043699043999997196,-0.2353778947771446,0.23939999957442407,0.008786778857136874,-0.01953410454286241,0.021419353934600958,,,
8485,1,1054,10732,,,0.47965622049999723,67.1684693328,0.103932536912,10.157345181399997,34.695465902487,3.5252803620999984,57.469051724399996,,,11.222080957300001,30.683231467289996,6.146575382800002,33.650984301454,2.1068754650000017,37.89897698448,,,23.460901987,43.6294381732,9.3520538693,34.601356381462,,,,,,,11.713240487199997,53.645604269799996,10.601102028,32.481764610970004,,,,,12.9182768322,33.353562403293,11.913380486599998,33.99158864348595,13.788095928399997,59.1959034148,,,,,1.319994790199999,34.703125368981,,,,,,,,,17:34,1.0,,,,,,,,,,0.7982915761428648,0.1278239995442984,0.8084605218562995,,,,,,,0.5576266075714313,-0.575818820857137,0.8015701765440919,,,,,,,,,,,,,,,,0.25547728257143787,-0.8118943129999984,0.8511410091117838,-0.16824151385714614,-0.07987460311572446,0.18623952106853903,-0.821162956857146,0.8041196615571524,1.149311546891077,-0.8625163098571523,-0.847550191671423,1.2092459270850844,0.13690714928571882,-0.10505974685713683,0.17257206591806154,0.4348024381428572,-0.18379354157142463,0.47205214345275476,,,,,,,0.8335715572857186,0.005734313507131494,0.8335912808248034,,,,0.3100863605714263,0.270354776662854,0.4113942832330735,,,,-0.09729424314285902,-0.29331843058286167,0.30903377075707245,-0.002672104571429046,0.0009526119714361597,0.002836831402952155,,,
8486,1,1054,10733,,,0.4796755837000006,67.1669644477,0.109526252334,10.195112137599999,34.668193456672,3.540625072700003,57.454906463600004,,,11.285135359999998,30.726746139070006,6.177539643800003,33.698863275704,2.1043296086999987,37.896640016919996,,,23.3732700348,43.774044945129994,9.392332712799998,34.534231747899995,,,,,,,11.718332926400002,53.633434658999995,10.3842591676,32.38194275522,,,,,12.919485001300004,33.344367575078,11.9188981737,33.9806230276424,13.8200997852,59.134246917000006,,,,,1.3021683465999985,34.699202355884005,,,,,,,,,17:34,1.0,,,,,,,,,,0.7779971271428618,0.1328118439428445,0.7892518709094358,,,,,,,0.5983823659999947,-0.5249421125714195,0.7960060788026034,,,,,,,,,,,,,,,,0.311151102285712,-0.5574789663571371,0.6384338700164925,-0.21829877571428422,-0.10358440227287857,0.24162798652595047,-0.7761666564285669,0.852226627128567,1.1527033020419584,-0.7923868870000004,0.014896475000004489,0.7925268977498349,0.15237211357142846,-0.13457648599999827,0.20329311739046166,0.4458149760000043,-0.16329836685714436,0.4747813701527208,,,,,,,0.7901169654285669,0.10524442609429184,0.7970954825376719,,,,0.2571710599999985,0.23223885265285363,0.3465138363515037,,,,-0.11737940271428575,-0.3046674144514279,0.3264967957118119,-0.010986847142849653,-0.0017519305285824335,0.011125649226778755,,,
8487,1,1054,10734,,,0.44182711820000264,67.13109609429999,0.0986791666732,10.248292650499998,34.632991052809,3.5594426110000015,57.422627857799995,,,11.2796692621,30.58540625799,6.194452013300001,33.706463308561,2.100021362299998,37.86856099537,,,23.3146860032,43.89211536589001,9.451501937099998,34.544679403305,,,,,,,11.754915509900002,53.5978800456,10.349537985700003,32.39197931971,,,,,12.918359120700003,33.311295577458,11.905533018600003,33.9691163925676,13.870653788200002,59.0620897384,,,,,1.262916383300002,34.653338696275,,,,,,,,,17:34,1.0,,,,,,,,,,0.7246110877142798,0.10856215848428571,0.7326984172858837,,,,,,,0.5998089848571376,-0.533890042857144,0.8030002466857361,,,,,,,,,,,,,,,,0.26760542471427995,-0.49577730852857693,0.5633895659207312,-0.24341959528571122,-0.11371587003999652,0.26867154383747605,-0.7080831981428559,0.9173070168428614,1.158807136084933,-0.5429814685714263,0.6108748353285673,0.8173107974630501,0.1734323567142785,-0.17477794557143922,0.24622370441052527,0.480768372428569,-0.1934508238571401,0.5182291473649677,,,,,,,0.7363294744285706,0.2906222165042851,0.79160745804857,,,,0.22373952014285287,0.23057851306857308,0.3212877581898635,,,,-0.10294012471428618,-0.24894578521713337,0.26938944532696135,-0.004654190142860312,-0.01553929582856637,0.016221319327773504,,,
8488,1,1054,10735,,,0.3870629586999996,67.0795675283,0.0747919235375,10.314317430800003,34.63514682650601,3.5781702314000015,57.3995582036,,,11.283208574600003,30.49682763645,6.212499891,33.729683513088,2.0992224557000014,37.86294342790001,,,23.2570259912,43.99777024133,9.523343222500003,34.609253930193994,,,,,,,11.809655598200003,53.5710920606,10.340044294099997,32.45385935477,,,,,12.907742636499997,33.290504766362,,,13.932050705,59.0084342957,,,,,1.2336717332999996,34.635282073701994,,,,,,,,,17:34,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8489,1,1054,10736,,,0.3308499098000013,67.0308070182,0.0481813421619,10.388066428000002,34.654262644903994,3.5975208281999964,57.376033101800004,,,11.272601536300002,30.39381395067,6.2259734017999975,33.755945393017,2.0993924822000025,37.86432836736999,,,23.2112782342,44.0881071772,9.603601728199997,34.729320964643,,,,,,,11.878824234,53.5405379704,10.386543273900003,32.57854688168,,,,,12.890205110799997,33.272256578718,,,14.0030089787,58.960741451800004,,,,,1.202355521100003,34.62419305528899,,,,,,,,,17:34,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8490,1,1054,10737,,,0.2731879716000023,66.984814564,0.0188474225466,10.4695396423,34.690338508004,3.6174944014999966,57.352052552399996,,,11.2478481474,30.276365200679997,6.2348725454999965,33.78524894835,2.100531441800001,37.87271581377,,,23.1774427323,44.163126173500004,9.692277454200003,34.904880506652,,,,,,,11.962421417199998,53.5062177749,10.489034925200002,32.76604190043,,,,,12.865746543500002,33.256551014526,,,14.083528609499998,58.9190112069,,,,,1.1689677466000035,34.620071641036,,,,,,,,,17:34,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8491,1,1070,10894,,,,,,,,3.170333135699998,56.89442198620001,9.551234381500002,33.443680761825,12.821513221399996,30.29536510082,5.730681010700003,34.368343630317995,2.330807822099999,38.28548400743,0.4999786882000024,67.5876755186,18.547784078699998,46.3912497475,,,,,,,,,13.644910721599997,50.724891299300005,12.078782217799997,33.282696547962,14.119813374099996,34.772003118481,10.3114999135,36.07426028025,13.322588784399999,34.903423498074,,,16.3000010536,49.3641770681,10.643244879599997,33.287334074577,25.0374050595,48.80093663080001,1.1080574762000026,34.295291897796,,,,,,,,,17:50,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8492,1,1070,10895,,,,,,,,3.2038239070000003,56.897915159,9.611697605700002,33.453127218144,12.7543103354,30.18838226795,5.6851438795000035,34.178229118697,2.336235318900002,38.28514862061,0.368327592,67.67894133920001,18.6253117153,46.3332115582,,,,,,,,,13.596995762399999,50.7947741917,12.048703057399997,33.233808053391,14.0488798959,34.694692002875,10.284141540500002,36.06886385168,13.3555788313,34.865192289863,,,16.3718765804,49.329416683699996,10.6713741847,33.192254279341,25.0323434557,48.8873946326,1.1331645420999976,34.29090639948801,,,,,,,,,17:50,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8493,1,1070,10896,,,,,,,,3.230393818400003,56.9041554587,9.663470404500003,33.46200044666,12.6760937827,30.07628468105,5.6586538042,34.0392145554402,2.3410946982000027,38.28937390872,0.26222690640000224,67.72177956440001,18.701480593,46.2711401667,,,,,,,,,13.539890289299997,50.842300959999996,12.0181691306,33.192612669298,13.9844139644,34.641468916621,10.2541610173,36.07852307388,13.369175502200001,34.835329013211,,,16.413349424099998,49.27615015850001,10.679447991499998,33.089460590056,25.0340460369,48.975739002199994,1.1586216517999972,34.290830356734,,,,,,,,,17:50,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
